"","country","year","sex","age","suicides_no","population","continent"
"32317","Rodrigues",2001,"female","15-24 years",0,NA,NA
"32318","Rodrigues",2001,"female","25-34 years",0,NA,NA
"32319","Rodrigues",2001,"female","35-54 years",0,NA,NA
"32320","Rodrigues",2001,"female","5-14 years",0,NA,NA
"32321","Rodrigues",2001,"female","55-74 years",0,NA,NA
"32322","Rodrigues",2001,"female","75+ years",0,NA,NA
"32323","Rodrigues",2001,"male","15-24 years",0,NA,NA
"32324","Rodrigues",2001,"male","25-34 years",0,NA,NA
"32325","Rodrigues",2001,"male","35-54 years",1,NA,NA
"32326","Rodrigues",2001,"male","5-14 years",0,NA,NA
"32327","Rodrigues",2001,"male","55-74 years",1,NA,NA
"32328","Rodrigues",2001,"male","75+ years",0,NA,NA
"32329","Rodrigues",2002,"female","15-24 years",1,NA,NA
"32330","Rodrigues",2002,"female","25-34 years",0,NA,NA
"32331","Rodrigues",2002,"female","35-54 years",0,NA,NA
"32332","Rodrigues",2002,"female","5-14 years",0,NA,NA
"32333","Rodrigues",2002,"female","55-74 years",0,NA,NA
"32334","Rodrigues",2002,"female","75+ years",0,NA,NA
"32335","Rodrigues",2002,"male","15-24 years",1,NA,NA
"32336","Rodrigues",2002,"male","25-34 years",0,NA,NA
"32337","Rodrigues",2002,"male","35-54 years",1,NA,NA
"32338","Rodrigues",2002,"male","5-14 years",0,NA,NA
"32339","Rodrigues",2002,"male","55-74 years",0,NA,NA
"32340","Rodrigues",2002,"male","75+ years",0,NA,NA
"32341","Rodrigues",2004,"female","15-24 years",0,4180,NA
"32342","Rodrigues",2004,"female","25-34 years",0,2620,NA
"32343","Rodrigues",2004,"female","35-54 years",0,3716,NA
"32344","Rodrigues",2004,"female","5-14 years",0,3638,NA
"32345","Rodrigues",2004,"female","55-74 years",0,1962,NA
"32346","Rodrigues",2004,"female","75+ years",0,455,NA
"32347","Rodrigues",2004,"male","15-24 years",0,4126,NA
"32348","Rodrigues",2004,"male","25-34 years",0,2503,NA
"32349","Rodrigues",2004,"male","35-54 years",1,3765,NA
"32350","Rodrigues",2004,"male","5-14 years",0,3585,NA
"32351","Rodrigues",2004,"male","55-74 years",0,1838,NA
"32352","Rodrigues",2004,"male","75+ years",0,259,NA
"32353","Rodrigues",2005,"female","15-24 years",1,4071,NA
"32354","Rodrigues",2005,"female","25-34 years",0,2659,NA
"32355","Rodrigues",2005,"female","35-54 years",0,3761,NA
"32356","Rodrigues",2005,"female","5-14 years",0,3658,NA
"32357","Rodrigues",2005,"female","55-74 years",0,2014,NA
"32358","Rodrigues",2005,"female","75+ years",0,450,NA
"32359","Rodrigues",2005,"male","15-24 years",0,4061,NA
"32360","Rodrigues",2005,"male","25-34 years",0,2557,NA
"32361","Rodrigues",2005,"male","35-54 years",0,3789,NA
"32362","Rodrigues",2005,"male","5-14 years",0,3576,NA
"32363","Rodrigues",2005,"male","55-74 years",0,1870,NA
"32364","Rodrigues",2005,"male","75+ years",0,279,NA
"32365","Rodrigues",2006,"female","15-24 years",1,4008,NA
"32366","Rodrigues",2006,"female","25-34 years",0,2737,NA
"32367","Rodrigues",2006,"female","35-54 years",0,3778,NA
"32368","Rodrigues",2006,"female","5-14 years",0,3639,NA
"32369","Rodrigues",2006,"female","55-74 years",0,2044,NA
"32370","Rodrigues",2006,"female","75+ years",0,485,NA
"32371","Rodrigues",2006,"male","15-24 years",1,4002,NA
"32372","Rodrigues",2006,"male","25-34 years",0,2604,NA
"32373","Rodrigues",2006,"male","35-54 years",1,3778,NA
"32374","Rodrigues",2006,"male","5-14 years",0,3594,NA
"32375","Rodrigues",2006,"male","55-74 years",0,1915,NA
"32376","Rodrigues",2006,"male","75+ years",0,287,NA
"32377","Rodrigues",2007,"female","15-24 years",0,3838,NA
"32378","Rodrigues",2007,"female","25-34 years",0,2920,NA
"32379","Rodrigues",2007,"female","35-54 years",0,3765,NA
"32380","Rodrigues",2007,"female","5-14 years",0,3625,NA
"32381","Rodrigues",2007,"female","55-74 years",0,2100,NA
"32382","Rodrigues",2007,"female","75+ years",0,515,NA
"32383","Rodrigues",2007,"male","15-24 years",0,3860,NA
"32384","Rodrigues",2007,"male","25-34 years",0,2745,NA
"32385","Rodrigues",2007,"male","35-54 years",1,3752,NA
"32386","Rodrigues",2007,"male","5-14 years",0,3668,NA
